Max Rank,Sum Ranks,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25
4673160.021864126,3074389345.9427958,1.5621952702074898e+19,1.2433196386719082e+20,178957.54564924067,8419094.067068513,46661.66246679527,29794365.960637048,1.4071834021149227e+17,1.1563551771886618e+18,1786.8972070081118,82263.51982888034,2419190202138859.5,1.3260058843540595e+17,21838424589949.125,873179673769076.9,4224860.64122679,2125696019.2143483,161790.02805951983,5735609.062186509,1.1935937208272607e+19,8.817362460430913e+19,42185.37783594532,20593838.823821962,24155696814797.37,1288486792347435.2,1615.478957383358,56029.56004141542,1.0751570593307646e+17,8.19143781015935e+17,2187115660674698.8,8.989635080827138e+16,5169028.388024609,4862492664.03403,39970224927.337555,1922257490183.7546,8.31367280946022e-06,0.0035217642196301645,468016427.95066476,317285022262.8741,0.000506884977915111,0.0005283099706190818,433038458650064.7,4949692969543796.0,9.465327161042916e-16,1.5645335373938059e-15,3.042813188625124e-22,3.0428671429132613e-22,0.009975979519177735,142.87206225862082
11527509.839388227,1312626023.8307118,1.9486574472422396e+19,5.9020512032788636e+19,330440.1578780243,6954518.667370865,110216.04700504983,12735273.232619293,1.8631371718125485e+17,5.63612901216712e+17,3286.44708194438,68323.8708805319,3.032042682051383e+16,1.4898231800125923e+17,132883483097192.36,941247548516984.8,9891535.682609139,891468396.3186511,322512.4029581313,4817187.795257325,8.932270471820176e+18,3.316640794116087e+19,98377.89931107352,8649591.632443054,289897613120604.1,1449256237002594.8,3207.600288049341,47340.021583323534,8.540261998476838e+16,3.175815886466649e+17,1.3898299753255352e+16,9.654079355793293e+16,25148329.271431725,2154576898.0875893,12339761547.66613,501661282821.6963,1.0466313814321862e-05,0.0010334066764982944,1205663664.3038378,135314362308.48671,0.0013146350330889417,0.0014000726359151966,271333546301690.22,1865200829142187.8,4.305400971073511e-15,7.770066445196805e-15,2.2170907708484386e-29,5.063288448615319e-29,0.009824356025256609,26.488997352327925
5558078.945953651,1284406327.909664,5.780717798916623e+17,2.5144022975794352e+19,136913.97364052868,6781145.479004192,55863.91511223004,12761998.955092357,5689997220868141.0,2.4948767611777462e+17,1384.0521195762376,67673.08719587693,4607611333226885.0,1.1205748772458166e+17,30892241569453.258,782082669879164.2,3707589.4489202034,892008315.6833553,116897.22594609116,4787891.613289459,4.130791873152112e+17,1.7250367472681603e+19,37264.7571687092,8864681.20145437,46310822658775.93,1116897118140466.0,1181.7044604085388,47784.62442613856,4065964659721876.0,1.7119631060752403e+17,3073567563525501.5,7.845728013744051e+16,8332163.524321791,2031449573.162675,1877508150.0014312,410509099841.34534,4.08653945564514e-06,0.0011029120316741708,552990987.2480482,129270493341.01225,2.351699144843632e-06,4.10207254510527e-06,138457402082034.78,1401948035440068.0,8.833531262772489e-18,1.7332812729952493e-17,1.533715233113161e-23,1.5343863633660314e-23,0.01004867790316897,26.793210098739813
5059334.939240775,1528227735.3770318,2.148490469931331e+17,2.8122278173217268e+19,112344.16552287531,6556664.801659495,50974.095873137594,15225299.827592824,2164659199519942.2,2.7988178506201245e+17,1137.0806933692315,65629.08540168521,2956082734692686.0,1.070432447991536e+17,25596870027422.453,710695119890490.2,4348180.961425188,1038223522.8231335,78682.45176756436,4409339.801716758,1.8464927642368682e+17,1.883685392840996e+19,43809.037326692596,10342585.029090254,29783290993136.73,1070472569736302.0,796.3768870011842,44132.02323029206,1860388772904399.2,1.874561910978688e+17,2540567648070618.0,7.10719782374765e+16,8369641.865801745,2488256036.3877974,3013385342.4838157,619225206873.9489,2.878409224159224e-06,0.0015018606873538093,502154468.6369127,153399615962.28296,2.509295640781194e-07,7.717451972730292e-07,1274962397304128.8,4558899079999567.0,3.4947350452003243e-19,1.8343792896958372e-18,1.9119227597651018e-26,4.0155626445711786e-26,0.01003994439796744,46.55612041771769
91001665.5536022,2322588832.92769,1.2913659799007467e+22,1.3103463914871976e+22,269386.47821823607,9013632.85492641,866465.0172855898,23119438.892639875,1.2295637000595884e+20,1.2478471663340478e+20,2739.497654971467,90322.72293610747,1.0741153992487039e+18,1.247695721758677e+18,8281303133529671.0,9393959548865012.0,73687765.64054121,1548407189.0308723,180914.70374875958,5977047.692391776,1.0456717808867329e+22,1.054453978145702e+22,701612.1160096797,15408924.31941106,1.022710312294835e+16,1.19594239929312e+16,1839.7931846752726,59892.07424505961,9.956279505317383e+19,1.0041257090081792e+20,8.697551119447814e+17,9.811058786803386e+17,112383691.66907541,3828152322.2615356,1094076624284.7379,2141217327306.1345,3.3856796761017994e-06,0.002187996712320973,9557573552.678267,233355923293.29315,2.0282098606326956e-06,3.3078889756175375e-06,526447661879173.5,2422829645123244.0,4.650850798800462e-18,9.375551794807717e-18,1.6428119805420226e-28,2.3184557785141344e-28,0.00999232196894529,70.5534727336123
5063891.029309707,1437443812.496357,6.784918653132936e+17,2.8333343200074334e+19,147746.09422050923,6716635.27283735,50864.29543386955,14303076.10233832,6692994106068539.0,2.815632005744928e+17,1496.9871566159281,67110.85129398303,2599377692915385.0,1.1133322532179395e+17,25642992356723.332,795158445781364.1,4973418.26654356,981683630.2536831,135813.60483001042,4727126.559269359,5.6782375194511136e+17,1.952637636895222e+19,49955.54101806154,9770785.950660106,26109470790622.75,1110840257373537.6,1376.0852575960287,47241.3497900898,5601306691126651.0,1.9409917241642813e+17,2552936551115615.5,7.967109512777274e+16,5156009.605953527,2347651105.364867,2203660602.62295,497196960448.4849,3.948495505968658e-06,0.00116586254568747,504145238.58022726,144465554466.6092,3.17438723555219e-06,5.437687729475433e-06,1062788244996420.5,7596140682084573.0,1.869948766077857e-17,3.590468829773597e-17,3.839381801669903e-27,4.181109331036271e-27,0.01000457265100813,32.363223086289686
5328219.154877486,1538637046.953156,7.651222865475898e+18,3.69170278726345e+19,365935.82132868795,9019785.273916386,53383.188075822756,15279536.419583244,7.191664692883172e+16,3.622647126295914e+17,3718.5932885966836,90097.90729958622,4290444172105175.0,1.461539085126439e+17,28389919362403.35,1004228440429976.1,5018035.847711273,1075551274.237765,201294.5695001835,6279643.780636765,3.008589245892244e+18,2.337875258767418e+19,49998.3438834456,10681553.571651617,42985767197403.234,1456579829423862.2,2045.5298212032653,62718.818169904545,2.8278832593808484e+16,2.30382899155022e+17,2833620800940772.0,1.007674964833437e+17,8246995.801493317,2481193515.6000457,15985661948.934875,493918287607.4309,6.631239929807494e-06,0.0013118118388850174,531813860.98709124,154945270461.5938,0.0001705109149262812,0.0005338327844630242,8670231174564635.0,1.7395734665904384e+16,1.1417509220346424e-15,3.107687527171194e-15,1.129193835352116e-21,1.1292030055330844e-21,0.010093990769361723,29.42733168905588
4168568.005016884,1321419429.8561573,1.802963317779827e+19,5.2574667230064075e+19,59774.65123490252,4875455.848600175,40053.51682751794,13155970.668850986,1.732370000949508e+17,5.108830915883841e+17,603.0139887119057,48736.36737765537,2666778069822532.0,8.256721301505754e+16,17376959212450.445,553451495158400.2,2826962.410840356,894342690.2119918,39557.60357937627,3264822.1401109435,1.2227003425045344e+19,3.6787059124922114e+19,28304.812453004113,8903418.3091106,25623629065506.867,823137636752190.2,399.0619405631225,32631.90592859394,1.1748266715231134e+17,3.569022493478463e+17,1808506266988719.2,5.552063386811648e+16,6146866.030413502,2133464517.0436335,42861786544.11508,660789903380.0647,3.136741957721466e-06,0.0014304250986574862,433843532.07436615,132731937640.1022,1.226277009184813e-08,7.243211717533404e-08,734432539708298.0,1873098168974053.0,2.6512652447972414e-19,6.634043526250259e-19,8.156217248536762e-27,8.272429865661096e-27,0.010029930429838534,51.63940555589591
4688111.986872007,1056617392.7314804,2.3569912881865622e+17,1.8719123097595724e+19,61989.67568414783,4184187.9098214665,46513.01718555258,10340323.775104268,2338484588265283.5,1.829382474868235e+17,615.029431570257,41172.74503142352,3116587785321515.5,6.724317578306529e+16,21978394001452.996,448802651089009.0,3332253.5012391424,740600475.4819043,44061.51440443823,2895681.4668405205,1.6753210022378794e+17,1.2897838964055417e+19,33060.89206140491,7246374.546253435,30921168612199.49,660984189545684.0,437.155507900426,28491.010704043038,1662166662968307.2,1.2602623168338942e+17,2215233038084057.8,4.56640947654922e+16,6595654.860376031,1658512368.6776977,492469621.2231324,424760728304.41034,3.992957564460037e-06,0.0009570545114768046,472521357.0595828,107979435244.26671,1.1060358910601687e-06,1.2051636240658548e-06,223332289914267.7,2063640141124364.0,1.0023703883799832e-17,1.516347807451659e-17,5.931795396815293e-27,6.085933544743063e-27,0.009854163010851073,31.907007243523427
17233779.183106143,1544012201.976797,2.531048831148385e+18,3.1604820669986685e+19,249642.73694000242,8017409.39309145,171993.32363143176,15248322.061117087,2.525989779243535e+16,3.1197304217150835e+17,2491.437518756664,79581.2599869288,3.666392326507653e+16,1.6705882824157053e+17,297003144932062.7,1188891685124167.0,13988513.677331159,1055497576.4010658,202632.91081011755,5508365.781236768,2.0544310575372513e+18,2.2078778068137017e+19,139605.5348316406,10424748.767310804,365906395383657.75,1658828393442223.8,2022.2788882839861,54675.246603608335,2.0503246676378908e+16,2.1797965294184672e+17,2.975979827807593e+16,1.19712506524249e+17,21231930.123739015,2505387093.004016,1509853575.6476905,541225127091.34937,3.0095379012312335e-06,0.0014012772285438516,1726829499.315434,156350578418.51382,1.2244662802840767e-07,8.689503236576063e-07,1.4712489890052524e+16,2.199024966774499e+16,4.016806669143527e-19,2.1981232131928657e-18,5.35102797104842e-26,1.565110871128327e-25,0.009958915288219718,37.237783257648125
8719541.287680186,1605596066.5824342,4.034342981944926e+18,3.8103218249693544e+19,145410.48166391026,5856587.828325523,87725.0567598881,16142804.871325187,3.9542637090349224e+16,3.8156112458753875e+17,1491.7042570652031,59173.18897437639,8137538480354875.0,1.0422986941725342e+17,76030400267559.44,720333256504023.8,8097628.352937441,1104206978.2492151,115977.32936038252,3912583.082790262,2.51395697442119e+18,2.622031705220095e+19,81468.15106955095,11099808.166593987,81869676571578.84,1051288495790641.8,1188.916720278313,39522.85602693846,2.5292272953006324e+16,2.6267832210657978e+17,7557136338667679.0,7.143968773104134e+16,9389218.293771058,2580547500.942971,15695481273.42456,739631023860.9153,6.750612528624066e-06,0.0013826428473224805,866689667.419218,159700531370.29205,6.640788256383638e-06,1.0818704366487747e-05,3713656807780597.0,4785605180168546.0,1.8906692234182135e-16,3.0876125444456563e-16,8.01112718870909e-26,8.011247097639545e-26,0.010145877272481587,49.579773843928486
4911563.240420835,2675502737.51838,6.534611012396724e+19,1.4004806833964009e+20,137243.95333354032,8791205.936576458,48400.37655610013,26577153.51253397,6.089294988282766e+17,1.3391469023695808e+18,1392.452530825209,87784.81848719393,2662070473659505.0,1.40960670610467e+17,24123453464653.203,994945035904523.2,4776308.8236572845,1879238292.3823457,102118.71638559393,6226598.9775416525,6.354661176062607e+19,1.1285607698724035e+20,44508.16326666043,18667434.993527282,25564085108422.477,1402732850148031.0,1036.0781777406844,62182.07291563228,5.921608245421887e+17,1.0750648492257564e+18,2588762491725135.5,9.999890027829483e+16,6034644.170610381,4193231332.750726,120564634018.93427,1538205803582.9106,6.863840945030493e-06,0.003237684553629899,527075060.42482,269352277749.01248,1.322021503274513e-06,4.06307874908757e-06,2537599096433940.0,7904321237884233.0,4.411730161651371e-17,9.460374237710578e-17,3.6370822662409594e-26,4.6320141499706764e-26,0.01002545248283393,119.3399300321899
7304748.408895655,1476619764.127896,1.3189681082862993e+19,6.3921499484582445e+19,401390.34967209573,6076878.560165112,73362.97051664718,14460921.633817641,1.2009392645852474e+17,6.028295289517777e+17,4031.2392351254903,60077.828652864926,5749723057439368.0,9.871682475020704e+16,53359349317263.6,655861224409112.5,6749898.079808057,968409950.0438578,370901.74758185376,4092156.685386357,1.126962360174902e+19,4.503297872075143e+19,67790.50366968027,9484952.773570277,57745556661215.914,970219152196187.4,3725.036435106213,40474.428772701125,1.0298226204777496e+17,4.2403091989750496e+17,5312988545584348.0,6.67280473112624e+16,7905208.150754913,2563763806.8708625,33836144902.511105,739609999074.1886,1.331840485245965e-05,0.0013424341479491828,727333543.6322817,150793799366.75003,0.0002925159591398899,0.0006511495181632336,689481603141701.5,3690532047895895.0,1.6712602173538283e-14,2.6368780187582538e-14,2.3399571691986705e-28,2.5185492464749433e-28,0.009856245308261556,40.139105374007165
9931440.581538636,1697290712.268209,1.9013663855614824e+19,7.110832094444003e+19,364505.0406080581,7218342.371499461,99206.61091387067,16561120.207411025,1.710692521694893e+17,6.690322492665501e+17,3641.0941034040734,71047.80373951228,1.067341850350313e+16,1.339372319482808e+17,98633512024632.48,975907066742773.1,9187658.46136648,1213841537.1766424,337206.65124641155,5308998.284974379,1.2532173313768036e+19,5.206292225819116e+19,91776.86265179314,11844648.882235488,106618336776465.5,1313164249204752.8,3368.406503881966,52274.49729529904,1.1275415054798258e+17,4.8980084705165056e+17,9874068421423660.0,9.949994751590037e+16,10735435.197050491,2624624794.0327435,44163829623.44991,804122193766.6444,4.558304370005268e-06,0.0015608952653132272,994223178.4358026,173973606626.48145,7.046239873775098e-06,1.1997310462688808e-05,1269612439589114.8,7466855382323383.0,2.5727529327036818e-17,4.245460383283194e-17,9.256011714804141e-23,1.677562107073444e-22,0.009941061786360351,52.63118041512618
6334718.908989642,1403042314.8941028,2.2526169551242253e+17,2.6876151905818595e+19,209052.0078878066,7504581.0688831555,63190.568320920676,13731135.847201074,2247047543051044.2,2.6248461965418976e+17,2085.351438137772,73967.89324063525,7433859406177581.0,1.2385599043682694e+17,40128663655910.89,829886498608934.6,3428015.604114262,977044844.3518695,113127.91544607279,5088272.5956953,1.5907233046308554e+17,1.874642166946272e+19,34195.40114551255,9561164.172743384,74154797938635.95,1218601254218722.0,1128.4821588300863,50131.19726567856,1568269757226893.8,1.830734137998123e+17,4022812441922985.0,8.43798689182722e+16,11706091.304762144,2200411326.6725335,642610816.1356771,454106704878.34174,5.910234797992448e-06,0.0011267105310940105,635041980.5074836,143376078948.94702,5.085065816383786e-05,0.00010560187274531439,314269810079391.7,1608919707323148.8,1.5989914481570688e-16,2.8627057669588796e-16,1.9572702812923183e-29,2.67213438039958e-29,0.009801443251737743,27.490750450121162
11136584.845938198,1985642987.0545774,4.702660842297088e+18,6.017680677089746e+19,410889.13964214217,8550392.77434124,112807.14656917137,19717350.515249886,4.418985236658421e+16,5.93653417788129e+17,4162.068716802113,85574.92868676056,2.3602861741131964e+16,1.6886720248868118e+17,124023522030780.34,1050127480412081.6,5777059.549395737,1296635867.8342266,213147.1237143582,5461517.143997069,2.6164345859803884e+18,3.987054351753638e+19,58518.26321470586,12874048.320104448,239083302531015.1,1685095419259196.0,2159.056762757262,54652.25751868798,2.458605073990875e+16,3.934586462578221e+17,1.2243891614977994e+16,1.0532585014832267e+17,21468278.277268723,3411888766.042393,18127800588.864063,890307170639.7092,8.054869576183935e-06,0.0017201576443243642,1099429653.1978254,199972000022.83176,0.0009835976572503892,0.0010539409466531512,437461774816031.1,3035689739223534.0,5.708543482510677e-15,7.043105370918823e-15,1.516576060581392e-28,1.9778172132372415e-28,0.010073697203132772,53.05722066003597
6871340.571204047,1510102288.7902267,3.503333439350599e+17,3.133909026482131e+19,161928.7646434679,7971683.541547689,69750.07703579681,15137859.230537048,3556187831830451.0,3.137039385788872e+17,1664.0711469474618,80389.64193521457,6379244522184336.0,1.3834516894623107e+17,47215321245474.734,942053190175983.2,5010164.17040787,1016730390.7277129,118791.9811172848,5457901.240903255,2.5544179469699178e+17,2.1092331781025186e+19,50857.519464604724,10193222.165017014,64754874575307.86,1393292541584794.2,1220.77327460162,55047.12918998764,2592956159522061.0,2.111396690527036e+17,4651357622013222.0,9.353754037635122e+16,9423907.009743959,2493387182.767172,1253278859.2007642,544922287029.878,8.85678965827439e-06,0.0011510802337641086,676921420.7640676,150648732957.2997,0.0002351366004118004,0.000317421697098236,468451789282659.7,3314619040441954.0,4.444813573339615e-15,5.2071005035300126e-15,1.4732918713583576e-28,1.8619982971390405e-28,0.010053704594452425,29.323505112199584
